dso,mode,rank,report_log,self_pct,symbol,system,worker_threads,workload,workload_mode
ycsb_ermia_pwal.exe,pwal,2,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,10.12,"ccbench::WalLogger::logPerThread<std::vector<SetElement<Tuple>, std::allocator<SetElement<Tuple> > > >",P-WAL,32,YCSB-A,ycsb_a
libc.so.6,pwal,3,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,4.58,pthread_mutex_lock@@GLIBC_2.2.5,P-WAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,pwal,4,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,3.34,TxExecutor::ssn_parallel_commit,P-WAL,32,YCSB-A,ycsb_a
libc.so.6,pwal,5,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,3.15,pthread_mutex_unlock@@GLIBC_2.2.5,P-WAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,pwal,6,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,2.27,worker,P-WAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,pwal,7,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,1.96,MasstreeWrapper<Tuple>::get_value,P-WAL,32,YCSB-A,ycsb_a
[kernel.kallsyms],pwal,8,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,1.62,_raw_spin_lock,P-WAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,pwal,9,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,1.23,TxExecutor::install_version,P-WAL,32,YCSB-A,ycsb_a
[kernel.kallsyms],pwal,10,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,1.03,native_sched_clock,P-WAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,pwal,11,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,0.99,TxExecutor::abort,P-WAL,32,YCSB-A,ycsb_a
[kernel.kallsyms],pwal,12,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,0.97,syscall_return_via_sysret,P-WAL,32,YCSB-A,ycsb_a
libc.so.6,tidewal,1,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_tidewal.report.nochildren.txt,6.32,pthread_mutex_lock@@GLIBC_2.2.5,TideWAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,tidewal,2,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_tidewal.report.nochildren.txt,3.96,TxExecutor::abort,TideWAL,32,YCSB-A,ycsb_a
[kernel.kallsyms],tidewal,3,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_tidewal.report.nochildren.txt,3.75,native_queued_spin_lock_slowpath.part.0,TideWAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,tidewal,4,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_tidewal.report.nochildren.txt,3.60,TxExecutor::ssn_parallel_commit,TideWAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,tidewal,5,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_tidewal.report.nochildren.txt,3.58,TxExecutor::mergeVersionFrontier,TideWAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,tidewal,6,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_tidewal.report.nochildren.txt,2.58,MasstreeWrapper<Tuple>::get_value,TideWAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,tidewal,7,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_tidewal.report.nochildren.txt,2.41,TxExecutor::install_version,TideWAL,32,YCSB-A,ycsb_a
libc.so.6,tidewal,8,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_tidewal.report.nochildren.txt,2.31,pthread_mutex_unlock@@GLIBC_2.2.5,TideWAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,tidewal,9,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_tidewal.report.nochildren.txt,2.30,worker,TideWAL,32,YCSB-A,ycsb_a
libc.so.6,tidewal,10,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_tidewal.report.nochildren.txt,2.09,__GI___lll_lock_wait,TideWAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,tidewal,11,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_tidewal.report.nochildren.txt,1.95,TxExecutor::update,TideWAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,tidewal,12,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_tidewal.report.nochildren.txt,1.86,TxExecutor::publishReadFrontier,TideWAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,single_wal,1,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_single_wal.report.nochildren.txt,25.82,worker,Single WAL,32,YCSB-B,ycsb_b
ycsb_ermia_pwal.exe,single_wal,2,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_single_wal.report.nochildren.txt,19.12,TxExecutor::ssn_parallel_commit,Single WAL,32,YCSB-B,ycsb_b
ycsb_ermia_pwal.exe,single_wal,3,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_single_wal.report.nochildren.txt,4.52,TxExecutor::read_internal,Single WAL,32,YCSB-B,ycsb_b
[kernel.kallsyms],single_wal,4,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_single_wal.report.nochildren.txt,3.41,scsi_target_queue_ready,Single WAL,32,YCSB-B,ycsb_b
[kernel.kallsyms],single_wal,5,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_single_wal.report.nochildren.txt,3.39,update_sg_lb_stats,Single WAL,32,YCSB-B,ycsb_b
ycsb_ermia_pwal.exe,single_wal,6,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_single_wal.report.nochildren.txt,3.29,MasstreeWrapper<Tuple>::get_value,Single WAL,32,YCSB-B,ycsb_b
[kernel.kallsyms],single_wal,7,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_single_wal.report.nochildren.txt,2.99,entry_SYSCALL_64_after_hwframe,Single WAL,32,YCSB-B,ycsb_b
[kernel.kallsyms],single_wal,8,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_single_wal.report.nochildren.txt,2.94,bio_clone_blkg_association,Single WAL,32,YCSB-B,ycsb_b
ycsb_ermia_pwal.exe,single_wal,9,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_single_wal.report.nochildren.txt,2.89,_mi_page_free_collect.constprop.0,Single WAL,32,YCSB-B,ycsb_b
libstdc++.so.6.0.30,single_wal,10,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_single_wal.report.nochildren.txt,2.84,"std::__ostream_insert<char, std::char_traits<char> >",Single WAL,32,YCSB-B,ycsb_b
[kernel.kallsyms],single_wal,11,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_single_wal.report.nochildren.txt,2.76,x86_pmu_disable,Single WAL,32,YCSB-B,ycsb_b
[kernel.kallsyms],single_wal,12,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_single_wal.report.nochildren.txt,2.74,find_busiest_group,Single WAL,32,YCSB-B,ycsb_b
[kernel.kallsyms],pwal,1,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_pwal.report.nochildren.txt,31.79,native_queued_spin_lock_slowpath.part.0,P-WAL,32,YCSB-B,ycsb_b
ycsb_ermia_pwal.exe,pwal,2,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_pwal.report.nochildren.txt,8.45,"ccbench::WalLogger::logPerThread<std::vector<SetElement<Tuple>, std::allocator<SetElement<Tuple> > > >",P-WAL,32,YCSB-B,ycsb_b
ycsb_ermia_pwal.exe,pwal,3,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_pwal.report.nochildren.txt,5.89,TxExecutor::read,P-WAL,32,YCSB-B,ycsb_b
ycsb_ermia_pwal.exe,pwal,4,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_pwal.report.nochildren.txt,4.79,TxExecutor::ssn_parallel_commit,P-WAL,32,YCSB-B,ycsb_b
ycsb_ermia_pwal.exe,pwal,5,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_pwal.report.nochildren.txt,3.99,worker,P-WAL,32,YCSB-B,ycsb_b
libc.so.6,pwal,6,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_pwal.report.nochildren.txt,3.25,pthread_mutex_lock@@GLIBC_2.2.5,P-WAL,32,YCSB-B,ycsb_b
ycsb_ermia_pwal.exe,pwal,7,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_pwal.report.nochildren.txt,3.24,MasstreeWrapper<Tuple>::get_value,P-WAL,32,YCSB-B,ycsb_b
ycsb_ermia_pwal.exe,pwal,8,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_pwal.report.nochildren.txt,2.73,TxExecutor::read_internal,P-WAL,32,YCSB-B,ycsb_b
libc.so.6,pwal,9,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_pwal.report.nochildren.txt,2.07,pthread_mutex_unlock@@GLIBC_2.2.5,P-WAL,32,YCSB-B,ycsb_b
libc.so.6,pwal,10,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_pwal.report.nochildren.txt,1.17,__sched_yield,P-WAL,32,YCSB-B,ycsb_b
[kernel.kallsyms],pwal,11,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_pwal.report.nochildren.txt,1.09,update_curr,P-WAL,32,YCSB-B,ycsb_b
[kernel.kallsyms],pwal,12,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_pwal.report.nochildren.txt,0.94,_raw_spin_lock,P-WAL,32,YCSB-B,ycsb_b
libc.so.6,tidewal,1,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_tidewal.report.nochildren.txt,7.01,pthread_mutex_lock@@GLIBC_2.2.5,TideWAL,32,YCSB-B,ycsb_b
ycsb_ermia_pwal.exe,tidewal,2,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_tidewal.report.nochildren.txt,6.04,TxExecutor::mergeVersionFrontier,TideWAL,32,YCSB-B,ycsb_b
[kernel.kallsyms],tidewal,3,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_tidewal.report.nochildren.txt,5.52,native_queued_spin_lock_slowpath.part.0,TideWAL,32,YCSB-B,ycsb_b
ycsb_ermia_pwal.exe,tidewal,4,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_tidewal.report.nochildren.txt,4.55,MasstreeWrapper<Tuple>::get_value,TideWAL,32,YCSB-B,ycsb_b
ycsb_ermia_pwal.exe,tidewal,5,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_tidewal.report.nochildren.txt,4.27,TxExecutor::read,TideWAL,32,YCSB-B,ycsb_b
ycsb_ermia_pwal.exe,tidewal,6,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_tidewal.report.nochildren.txt,3.41,TxExecutor::ssn_parallel_commit,TideWAL,32,YCSB-B,ycsb_b
ycsb_ermia_pwal.exe,tidewal,7,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_tidewal.report.nochildren.txt,3.38,TxExecutor::read_internal,TideWAL,32,YCSB-B,ycsb_b
[kernel.kallsyms],tidewal,8,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_tidewal.report.nochildren.txt,2.67,futex_wait_setup,TideWAL,32,YCSB-B,ycsb_b
ycsb_ermia_pwal.exe,tidewal,9,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_tidewal.report.nochildren.txt,2.40,TxExecutor::publishReadFrontier,TideWAL,32,YCSB-B,ycsb_b
[vdso],tidewal,10,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_tidewal.report.nochildren.txt,2.28,0x00000000000006e5,TideWAL,32,YCSB-B,ycsb_b
libc.so.6,tidewal,11,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_tidewal.report.nochildren.txt,1.97,pthread_mutex_unlock@@GLIBC_2.2.5,TideWAL,32,YCSB-B,ycsb_b
ycsb_ermia_pwal.exe,tidewal,12,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_b_tidewal.report.nochildren.txt,1.82,worker,TideWAL,32,YCSB-B,ycsb_b
ycsb_ermia_pwal.exe,single_wal,1,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_single_wal.report.nochildren.txt,51.81,TxExecutor::read,Single WAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,single_wal,2,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_single_wal.report.nochildren.txt,16.13,TxExecutor::ssn_parallel_commit,Single WAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,single_wal,3,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_single_wal.report.nochildren.txt,8.02,MasstreeWrapper<Tuple>::get_value,Single WAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,single_wal,4,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_single_wal.report.nochildren.txt,5.42,TxExecutor::read_internal,Single WAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,single_wal,5,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_single_wal.report.nochildren.txt,4.90,TxExecutor::mainte,Single WAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,single_wal,6,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_single_wal.report.nochildren.txt,2.49,TxExecutor::begin,Single WAL,32,YCSB-C,ycsb_c
[vdso],single_wal,7,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_single_wal.report.nochildren.txt,1.56,0x00000000000006e5,Single WAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,single_wal,8,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_single_wal.report.nochildren.txt,1.06,worker,Single WAL,32,YCSB-C,ycsb_c
libc.so.6,single_wal,9,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_single_wal.report.nochildren.txt,0.95,__memcmp_evex_movbe,Single WAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,single_wal,10,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_single_wal.report.nochildren.txt,0.84,"YcsbWorkload::run<TxExecutor, TransactionStatus>",Single WAL,32,YCSB-C,ycsb_c
libc.so.6,single_wal,11,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_single_wal.report.nochildren.txt,0.82,getenv,Single WAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,single_wal,12,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_single_wal.report.nochildren.txt,0.66,"std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare",Single WAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,pwal,1,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_pwal.report.nochildren.txt,51.71,TxExecutor::read,P-WAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,pwal,2,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_pwal.report.nochildren.txt,15.77,TxExecutor::ssn_parallel_commit,P-WAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,pwal,3,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_pwal.report.nochildren.txt,6.99,MasstreeWrapper<Tuple>::get_value,P-WAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,pwal,4,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_pwal.report.nochildren.txt,5.54,TxExecutor::read_internal,P-WAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,pwal,5,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_pwal.report.nochildren.txt,5.11,TxExecutor::mainte,P-WAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,pwal,6,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_pwal.report.nochildren.txt,3.04,TxExecutor::begin,P-WAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,pwal,7,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_pwal.report.nochildren.txt,1.40,worker,P-WAL,32,YCSB-C,ycsb_c
[vdso],pwal,8,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_pwal.report.nochildren.txt,1.29,0x00000000000006e5,P-WAL,32,YCSB-C,ycsb_c
libc.so.6,pwal,9,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_pwal.report.nochildren.txt,1.06,__memcmp_evex_movbe,P-WAL,32,YCSB-C,ycsb_c
libc.so.6,pwal,10,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_pwal.report.nochildren.txt,0.86,getenv,P-WAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,pwal,11,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_pwal.report.nochildren.txt,0.83,"std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare",P-WAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,pwal,12,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_pwal.report.nochildren.txt,0.80,"YcsbWorkload::run<TxExecutor, TransactionStatus>",P-WAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,tidewal,1,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_tidewal.report.nochildren.txt,33.39,TxExecutor::read,TideWAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,tidewal,2,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_tidewal.report.nochildren.txt,11.05,TxExecutor::ssn_parallel_commit,TideWAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,tidewal,3,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_tidewal.report.nochildren.txt,10.97,TxExecutor::mergeVersionFrontier,TideWAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,tidewal,4,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_tidewal.report.nochildren.txt,7.58,MasstreeWrapper<Tuple>::get_value,TideWAL,32,YCSB-C,ycsb_c
libc.so.6,tidewal,5,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_tidewal.report.nochildren.txt,6.73,pthread_mutex_lock@@GLIBC_2.2.5,TideWAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,tidewal,6,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_tidewal.report.nochildren.txt,5.77,TxExecutor::read_internal,TideWAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,tidewal,7,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_tidewal.report.nochildren.txt,3.64,TxExecutor::mainte,TideWAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,tidewal,8,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_tidewal.report.nochildren.txt,2.79,TxExecutor::begin,TideWAL,32,YCSB-C,ycsb_c
[vdso],tidewal,9,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_tidewal.report.nochildren.txt,2.07,0x00000000000006e5,TideWAL,32,YCSB-C,ycsb_c
libc.so.6,tidewal,10,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_tidewal.report.nochildren.txt,1.48,getenv,TideWAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,tidewal,11,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_tidewal.report.nochildren.txt,1.33,worker,TideWAL,32,YCSB-C,ycsb_c
ycsb_ermia_pwal.exe,tidewal,12,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_c_tidewal.report.nochildren.txt,1.09,ccbench::WalLogger::ackReadOnlyWithFrontier,TideWAL,32,YCSB-C,ycsb_c
