workload_mode,workload,system,total_threads,worker_threads,logger_num,committer_num,ack_tps,p99_us,pending,read_only_commits_per_tx,frontier_collect_ns_per_tx,frontier_publish_ns_per_tx,fdatasync_ns_per_tx
ycsb_b,YCSB-B,P-WAL,1,1.0,1.0,0.0,27759.833333333332,128.0,0.0,0.598809291041907,0.0,0.0,32955.823769
ycsb_b,YCSB-B,P-WAL,2,2.0,2.0,0.0,52148.416666666664,128.0,0.0,0.5994589082371696,0.0,0.0,32787.519168
ycsb_b,YCSB-B,P-WAL,4,4.0,4.0,0.0,93408.25,128.0,0.0,0.5975049309448356,0.0,0.0,35014.468345
ycsb_b,YCSB-B,P-WAL,8,8.0,8.0,0.0,150488.41666666666,128.0,0.0,0.5983904916885886,0.0,0.0,43100.033510333335
ycsb_b,YCSB-B,P-WAL,16,16.0,16.0,0.0,207898.41666666666,256.0,0.0,0.5990140221024601,0.0,0.0,63387.69201966666
ycsb_b,YCSB-B,P-WAL,32,32.0,32.0,0.0,253062.83333333334,256.0,0.0,0.5989608036890876,0.0,0.0,107997.31035633333
ycsb_b,YCSB-B,Single WAL,1,1.0,0.0,0.0,27580.333333333332,128.0,0.0,0.598539642192438,0.0,0.0,34173.158434666664
ycsb_b,YCSB-B,Single WAL,2,2.0,0.0,0.0,29992.0,128.0,0.0,0.597684427864413,0.0,0.0,34440.450893
ycsb_b,YCSB-B,Single WAL,4,4.0,0.0,0.0,31048.083333333332,256.0,0.0,0.5987235787407436,0.0,0.0,33006.498135333335
ycsb_b,YCSB-B,Single WAL,8,8.0,0.0,0.0,29339.833333333332,512.0,0.0,0.5987883641125338,0.0,0.0,34730.921939
ycsb_b,YCSB-B,Single WAL,16,16.0,0.0,0.0,28553.25,1024.0,0.0,0.5980346129527226,0.0,0.0,35701.178577
ycsb_b,YCSB-B,Single WAL,32,32.0,0.0,0.0,28515.916666666668,2048.0,0.0,0.5982479451230652,0.0,0.0,35678.509373999994
ycsb_b,YCSB-B,TideWAL,4,2.0,1.0,1.0,128068.91666666667,256.0,8.0,0.5991961574891412,1893.8961743333332,3018.5159280000003,4938.817963
ycsb_b,YCSB-B,TideWAL,8,5.0,2.0,1.0,259301.0,256.0,21.333333333333332,0.5982558711310069,2570.2194163333334,3800.147585,4846.460943333333
ycsb_b,YCSB-B,TideWAL,16,12.0,3.0,1.0,378717.6666666667,512.0,46.333333333333336,0.5986798903672769,4970.310264666667,6806.075422333334,5014.279985666667
ycsb_b,YCSB-B,TideWAL,32,24.0,7.0,1.0,461289.0,512.0,43.333333333333336,0.599016886713945,10530.283945000001,12461.177002333332,10236.003780666668
ycsb_c,YCSB-C,P-WAL,1,1.0,1.0,0.0,192734.08333333334,5.172944465854687,0.0,1.0,0.0,0.0,0.0
ycsb_c,YCSB-C,P-WAL,2,2.0,2.0,0.0,301554.4166666667,6.545107654748843,0.0,1.0,0.0,0.0,0.0
ycsb_c,YCSB-C,P-WAL,4,4.0,4.0,0.0,550269.4166666666,7.740260092089745,0.0,1.0,0.0,0.0,0.0
ycsb_c,YCSB-C,P-WAL,8,8.0,8.0,0.0,933880.0,8.522615292341685,0.0,1.0,0.0,0.0,0.0
ycsb_c,YCSB-C,P-WAL,16,16.0,16.0,0.0,1322863.8333333333,12.091960112402326,0.0,1.0,0.0,0.0,0.0
ycsb_c,YCSB-C,P-WAL,32,32.0,32.0,0.0,1443722.1666666667,21.80532411058979,0.0,1.0,0.0,0.0,0.0
ycsb_c,YCSB-C,Single WAL,1,1.0,0.0,0.0,258896.33333333334,3.8808388433159826,0.0,1.0,0.0,0.0,0.0
ycsb_c,YCSB-C,Single WAL,2,2.0,0.0,0.0,407952.5833333333,4.809958538157401,0.0,1.0,0.0,0.0,0.0
ycsb_c,YCSB-C,Single WAL,4,4.0,0.0,0.0,502512.8333333333,8.258755054616179,0.0,1.0,0.0,0.0,0.0
ycsb_c,YCSB-C,Single WAL,8,8.0,0.0,0.0,542069.5833333334,15.115993997060883,0.0,1.0,0.0,0.0,0.0
ycsb_c,YCSB-C,Single WAL,16,16.0,0.0,0.0,660055.0833333334,24.317116476328238,0.0,1.0,0.0,0.0,0.0
ycsb_c,YCSB-C,Single WAL,32,32.0,0.0,0.0,793705.5833333334,40.1675236784414,0.0,1.0,0.0,0.0,0.0
ycsb_c,YCSB-C,TideWAL,4,2.0,1.0,1.0,222731.25,1.0,0.0,1.0,1329.887346,0.0,0.0
ycsb_c,YCSB-C,TideWAL,8,5.0,2.0,1.0,475921.1666666667,8.0,0.0,1.0,1804.9719780000003,0.0,0.0
ycsb_c,YCSB-C,TideWAL,16,12.0,3.0,1.0,732295.5833333334,16.0,0.0,1.0,2667.12099,0.0,0.0
ycsb_c,YCSB-C,TideWAL,32,24.0,7.0,1.0,723000.0,64.0,0.0,1.0,2740.031945666667,0.0,0.0
