workload_mode,workload,system,thread_num,ack_tps,p99_us,pending,frontier_collect_ns_per_tx,frontier_publish_ns_per_tx,fdatasync_ns_per_tx,read_frontier_updates_per_tx,write_frontier_updates_per_tx
ycsb_c,YCSB-C,P-WAL,16,92633.5,256.0,0.0,0.0,0.0,166650.149296,0.0,0.0
ycsb_c,YCSB-C,P-WAL,32,115256.75,256.0,0.0,0.0,0.0,272459.0576276667,0.0,0.0
ycsb_c,YCSB-C,Single WAL,1,13171.75,77.13073659853451,0.0,0.0,0.0,81007.372688,0.0,0.0
ycsb_c,YCSB-C,Single WAL,2,13420.916666666666,148.91201161513692,0.0,0.0,0.0,79872.62072566667,0.0,0.0
ycsb_c,YCSB-C,Single WAL,4,13420.166666666666,298.46848359356056,0.0,0.0,0.0,79809.34278299999,0.0,0.0
ycsb_c,YCSB-C,Single WAL,8,13274.5,595.3488372093024,0.0,0.0,0.0,80333.840158,0.0,0.0
ycsb_c,YCSB-C,Single WAL,16,12213.666666666666,1311.7442098790737,0.0,0.0,0.0,86511.09069433332,0.0,0.0
ycsb_c,YCSB-C,Single WAL,32,12139.75,2634.3953239483,0.0,0.0,0.0,86576.16305266666,0.0,0.0
ycsb_c,YCSB-C,TideWAL,1,183574.83333333334,1.0,0.0,529.5392406666666,0.0,0.0,0.0,0.0
ycsb_c,YCSB-C,TideWAL,2,264051.6666666667,1.0,0.0,1049.2630403333333,0.0,0.0,0.0,0.0
ycsb_c,YCSB-C,TideWAL,4,489240.75,4.0,0.0,1274.5040626666666,0.0,0.0,0.0,0.0
ycsb_c,YCSB-C,TideWAL,8,718104.5,8.0,0.0,1895.3033993333331,0.0,0.0,0.0,0.0
ycsb_c,YCSB-C,TideWAL,16,800167.5833333334,32.0,0.0,2682.0590293333335,0.0,0.0,0.0,0.0
ycsb_c,YCSB-C,TideWAL,32,757343.25,128.0,0.0,2714.112493,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,Single WAL,1,13097.85,77.29020539872084,0.0,0.0,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,P-WAL,1,12741.6,128.0,0.0,0.0,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,TideWAL,1,85371.111,256.0,7.667,887.079,1466.692,6150.857,3.517713,0.501342
ycsb_b,YCSB-B,Single WAL,2,12774.95,154.56249154736375,0.0,0.0,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,P-WAL,2,22216.6,128.0,0.0,0.0,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,TideWAL,2,130804.333,256.0,9.0,1323.826,2096.801,7646.493,3.506061,0.499197
ycsb_b,YCSB-B,Single WAL,4,12814.95,309.4179075614001,0.0,0.0,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,P-WAL,4,41511.35,128.0,0.0,0.0,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,TideWAL,4,194043.111,256.0,17.667,2126.358,3163.434,10556.127,3.515068,0.499706
ycsb_b,YCSB-B,Single WAL,8,12340.3,652.3822144298791,0.0,0.0,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,P-WAL,8,67298.6,128.0,0.0,0.0,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,TideWAL,8,287434.222,256.0,22.667,3114.272,4482.343,7427.654,3.51285,0.499991
ycsb_b,YCSB-B,Single WAL,16,11950.9,1333.472236691322,0.0,0.0,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,P-WAL,16,88130.15,256.0,0.0,0.0,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,TideWAL,16,336633.667,256.0,36.667,6755.209,8366.774,6320.605,3.510709,0.499375
ycsb_b,YCSB-B,Single WAL,32,12022.55,2667.333500041677,0.0,0.0,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,P-WAL,32,109029.2,512.0,0.0,0.0,0.0,0.0,0.0,0.0
ycsb_b,YCSB-B,TideWAL,32,374002.667,512.0,48.667,14166.481,14776.04,5892.885,3.51418,0.500449
